epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.48,1.44831,2.05101,1.55928,0.23354,0.24276,0.16704,0.08273,1.78901,2.20434,1.9276,0.000332606,0.000332606,0.000332606
2,636.723,1.53879,2.06487,1.65082,0.19348,0.17673,0.13343,0.06616,1.81953,2.70681,1.96612,0.000649457,0.000649457,0.000649457
3,948.236,1.54286,2.0438,1.65199,0.22577,0.20797,0.14618,0.07402,1.76328,2.78096,1.929,0.000949808,0.000949808,0.000949808
4,1255.67,1.49137,1.92083,1.61575,0.27982,0.23797,0.22494,0.1363,1.51738,1.94508,1.70885,0.00092575,0.00092575,0.00092575
5,1567.18,1.44934,1.86412,1.58243,0.32514,0.26062,0.25995,0.15177,1.54272,1.76454,1.68837,0.000901,0.000901,0.000901
6,1875.77,1.41079,1.78386,1.55651,0.36804,0.32234,0.30313,0.17998,1.4706,1.70982,1.63222,0.00087625,0.00087625,0.00087625
7,2189.7,1.40315,1.74579,1.54308,0.3604,0.29034,0.27823,0.16987,1.45811,1.867,1.61302,0.0008515,0.0008515,0.0008515
8,2497.78,1.3678,1.67202,1.52577,0.37515,0.32146,0.32686,0.20524,1.38275,1.5833,1.54985,0.00082675,0.00082675,0.00082675
9,2811.24,1.35578,1.60683,1.50708,0.36797,0.33141,0.3038,0.18616,1.40774,1.68636,1.57708,0.000802,0.000802,0.000802
10,3118.4,1.32631,1.57114,1.48693,0.41369,0.34636,0.32763,0.2014,1.40144,1.67084,1.56822,0.00077725,0.00077725,0.00077725
11,3426.43,1.31216,1.54051,1.48095,0.41824,0.35511,0.35198,0.21967,1.38925,1.52973,1.53933,0.0007525,0.0007525,0.0007525
12,3735.38,1.31273,1.52719,1.47782,0.44748,0.39341,0.40685,0.25737,1.32903,1.4258,1.49204,0.00072775,0.00072775,0.00072775
13,4043.25,1.30355,1.47201,1.46494,0.40388,0.38781,0.34667,0.21858,1.34527,1.56976,1.52366,0.000703,0.000703,0.000703
14,4351.3,1.27574,1.45468,1.46163,0.48557,0.37425,0.40373,0.26369,1.30152,1.40033,1.47426,0.00067825,0.00067825,0.00067825
15,4663.09,1.28236,1.43019,1.45508,0.48446,0.37258,0.39337,0.25748,1.30957,1.37713,1.48409,0.0006535,0.0006535,0.0006535
16,4971.57,1.25932,1.39889,1.43917,0.43168,0.39604,0.39288,0.24952,1.30258,1.42864,1.47452,0.00062875,0.00062875,0.00062875
17,5279.1,1.26738,1.39718,1.4394,0.46863,0.39947,0.41689,0.27079,1.27246,1.34755,1.45094,0.000604,0.000604,0.000604
18,5587.17,1.23912,1.3615,1.42086,0.49251,0.39769,0.42338,0.28329,1.25045,1.31141,1.44453,0.00057925,0.00057925,0.00057925
19,5896.19,1.22613,1.33691,1.41767,0.50137,0.38834,0.42711,0.28337,1.2833,1.29082,1.44912,0.0005545,0.0005545,0.0005545
20,6204.41,1.23213,1.3133,1.41843,0.52267,0.41557,0.46436,0.31029,1.22132,1.2513,1.42163,0.00052975,0.00052975,0.00052975
21,6518.78,1.21958,1.28872,1.4157,0.48349,0.43408,0.45179,0.30045,1.24329,1.23372,1.4179,0.000505,0.000505,0.000505
22,6827.68,1.22788,1.28142,1.41223,0.50081,0.44093,0.45746,0.31237,1.19022,1.22756,1.38697,0.00048025,0.00048025,0.00048025
23,7135.95,1.20574,1.27198,1.40082,0.49954,0.43193,0.45064,0.30749,1.19982,1.21401,1.39119,0.0004555,0.0004555,0.0004555
24,7444.77,1.19646,1.23319,1.39268,0.54475,0.43706,0.48368,0.32845,1.19828,1.15132,1.37957,0.00043075,0.00043075,0.00043075
25,7752.85,1.18895,1.21055,1.38485,0.52185,0.45437,0.48009,0.32315,1.22521,1.16082,1.39855,0.000406,0.000406,0.000406
26,8060.67,1.18443,1.20019,1.37895,0.5314,0.46997,0.49279,0.33351,1.19984,1.13602,1.37696,0.00038125,0.00038125,0.00038125
27,8374.38,1.17059,1.18279,1.37846,0.5378,0.44352,0.49465,0.33429,1.19853,1.15624,1.38185,0.0003565,0.0003565,0.0003565
28,8683.44,1.17085,1.16278,1.37308,0.53905,0.45686,0.49624,0.33154,1.2166,1.13069,1.38513,0.00033175,0.00033175,0.00033175
29,8991.95,1.15706,1.13645,1.35698,0.58307,0.46278,0.51829,0.35204,1.17034,1.08236,1.36,0.000307,0.000307,0.000307
30,9300.17,1.14836,1.11966,1.35516,0.55865,0.46037,0.50884,0.34861,1.1778,1.13181,1.35668,0.00028225,0.00028225,0.00028225
