epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2922,1.2175,3.33926,1.54101,0.00486,1,0.23498,0.15976,0.62424,3.52613,1.2713,1.429e-05,1.429e-05,1.429e-05
2,79.485,1.18052,3.33526,1.51213,0.00492,1,0.24682,0.18712,0.64135,3.51885,1.28815,4.24456e-05,4.24456e-05,4.24456e-05
3,115.179,1.07551,3.23756,1.40123,0.0051,1,0.24668,0.18111,0.62015,3.56383,1.21476,7.00353e-05,7.00353e-05,7.00353e-05
4,150.509,0.92183,3.13139,1.31573,0.00538,1,0.363,0.27771,0.69339,3.56594,1.27119,9.70591e-05,9.70591e-05,9.70591e-05
5,185.364,0.84261,3.12254,1.40393,0.00605,1,0.37573,0.29058,0.78006,3.58248,1.36462,0.000123517,0.000123517,0.000123517
6,223.243,0.97158,3.12283,1.35257,0.00586,1,0.33908,0.25084,0.77744,3.58003,1.3748,0.000149409,0.000149409,0.000149409
7,267.284,0.90227,3.09205,1.34915,0.00578,1,0.34136,0.25028,0.76459,3.58186,1.37143,0.000174735,0.000174735,0.000174735
8,308.042,0.9087,2.81055,1.24804,0.00576,1,0.37083,0.28266,0.74722,3.55897,1.39598,0.000199496,0.000199496,0.000199496
9,347.522,0.79001,2.67755,1.30234,0.00541,1,0.38706,0.29621,0.65678,3.49394,1.29814,0.00022369,0.00022369,0.00022369
10,388.234,0.90233,2.8108,1.21083,0.00553,1,0.50702,0.39808,0.59962,3.4645,1.20573,0.000247318,0.000247318,0.000247318
11,428.258,0.67579,2.48753,1.14477,0.0055,1,0.53577,0.39467,0.59201,3.43621,1.22588,0.000270381,0.000270381,0.000270381
12,480.323,0.81036,2.72907,1.1928,0.00536,1,0.58854,0.51132,0.60302,3.46117,1.29168,0.000292878,0.000292878,0.000292878
13,523.453,0.75368,2.48868,1.13003,0.0055,1,0.74625,0.61841,0.65834,3.46719,1.41933,0.000314809,0.000314809,0.000314809
14,562.673,0.90483,2.51113,1.27878,0.00568,1,0.71768,0.60387,0.7143,3.50228,1.43863,0.000336174,0.000336174,0.000336174
15,601.087,0.81474,2.37576,1.21601,0.00578,1,0.61476,0.53511,0.75227,3.48736,1.46457,0.000356973,0.000356973,0.000356973
16,639.653,0.83865,2.24558,1.21671,0.0058,1,0.55185,0.47648,0.71764,3.47404,1.44044,0.000377206,0.000377206,0.000377206
17,678.344,0.86409,2.22286,1.285,0.00625,1,0.54725,0.47097,0.54651,3.38284,1.18852,0.000396873,0.000396873,0.000396873
18,715.881,0.96488,2.37461,1.27847,0.00619,1,0.54302,0.42985,0.63388,3.31384,1.27998,0.000415975,0.000415975,0.000415975
19,758.77,0.77006,2.00717,1.18286,0.00608,1,0.56375,0.41944,0.76119,3.37113,1.71959,0.00043451,0.00043451,0.00043451
20,793.482,0.80528,1.80624,1.20401,0.00626,1,0.55969,0.42492,0.714,3.37496,1.63083,0.00045248,0.00045248,0.00045248
21,828.692,0.70015,1.87425,1.12436,0.00619,1,0.58042,0.44835,0.5864,3.29605,1.52556,0.000469884,0.000469884,0.000469884
22,863.604,0.72563,1.68164,1.11583,0.00574,1,0.54708,0.41586,0.62388,3.16226,1.53606,0.000486722,0.000486722,0.000486722
23,898.505,0.89175,1.95965,1.34403,0.00569,1,0.96167,0.46852,0.68666,3.14735,1.64668,0.000502994,0.000502994,0.000502994
24,933.534,0.78971,1.71091,1.23059,0.0057,1,0.74625,0.5044,0.73397,3.13782,1.7353,0.0005187,0.0005187,0.0005187
25,977.193,0.84254,1.68388,1.32925,0.00521,1,0.5925,0.43029,0.75533,3.09445,1.67279,0.00053384,0.00053384,0.00053384
26,1016.59,0.79186,1.578,1.18048,0.82728,0.3,0.56473,0.43786,0.94566,3.11541,2.02066,0.000548414,0.000548414,0.000548414
27,1057.09,0.96985,1.73433,1.23846,0.88206,0.32824,0.55521,0.43517,0.91109,3.06341,1.96305,0.000562423,0.000562423,0.000562423
28,1097.97,0.94867,1.7234,1.32676,0.88206,0.32824,0.55521,0.43517,0.91109,3.06341,1.96305,0.000575866,0.000575866,0.000575866
29,1134.58,0.91951,1.81376,1.2623,0.88803,0.35211,0.67958,0.48146,0.93004,2.76899,2.10098,0.000588742,0.000588742,0.000588742
30,1170.04,0.88317,1.76091,1.22795,0.88562,0.3425,0.96167,0.58228,0.89256,2.75726,1.99435,0.000601053,0.000601053,0.000601053
31,1205.22,0.72884,1.5885,1.1558,0.88562,0.3425,0.96167,0.58228,0.89256,2.75726,1.99435,0.000612798,0.000612798,0.000612798
32,1239.99,0.82827,1.54893,1.14604,1,0.36075,0.995,0.70688,0.89445,2.61572,1.9955,0.000623977,0.000623977,0.000623977
33,1282.43,0.78303,1.52281,1.21498,1,0.39429,0.995,0.74278,0.74434,2.55238,1.97588,0.00063459,0.00063459,0.00063459
34,1324.59,0.7673,1.53898,1.23416,1,0.39429,0.995,0.74278,0.74434,2.55238,1.97588,0.000644638,0.000644638,0.000644638
35,1360.14,0.87218,1.49326,1.23303,0.95818,0.4,0.96643,0.66833,0.84016,2.58597,1.78421,0.000654119,0.000654119,0.000654119
36,1395.03,0.95032,1.4866,1.31866,0.85521,0.4,0.6575,0.48909,1.09604,2.75574,2.22877,0.000663035,0.000663035,0.000663035
37,1454.77,0.94035,1.5743,1.33034,0.85521,0.4,0.6575,0.48909,1.09604,2.75574,2.22877,0.000671384,0.000671384,0.000671384
38,1493.92,0.84895,1.51974,1.21371,0.69805,0.2,0.77074,0.52348,1.61829,3.24689,2.80061,0.000679168,0.000679168,0.000679168
39,1527,0.78947,1.42964,1.16382,0.77061,0.4,0.87833,0.50259,1.6478,2.96596,3.18734,0.000686386,0.000686386,0.000686386
